78.22295351095083,15.627656919871827
-23.698,133.8807
64.1464934,-21.9427864
-43.5320179,172.6352018
-3.7437,-73.2516
64.1814,-51.6941
61.218422,-149.8995885
64.8378,-147.7164
45.6772908,-111.0430523
46.8769336,-96.7894519
44.4759,-73.2121
43.2629194712061,-2.9350286076591914
41.1577369,-8.6278261
50.0647,19.945
59.4371275,24.7560852
42.6500373,18.0933762
41.7180869,44.8266331
27.717602710685952,85.32711394520103
47.881796,106.9114568
-0.1805375,-78.4667639
-16.4956554,-68.1508609
31.6775976,-100.7365069
35.3431595,-117.6208272
40.8288647,-73.5677882
-45.874,170.5036
35.9992,-78.91
35.7554896,-83.9693344
-54.8016604,-68.3111521
65.5712777,-37.1510543
-27.8262627,-64.0513739
46.718523,28.1370951
5.5367531,102.8995775
55.9811666,11.3127375
-34.2067441,21.572696
57.3694729,13.2916565
16.7917479,104.6568844
-33.0456001,-71.6239672
-29.340113,115.8725939
41.6892934,-8.6968403
36.7940764,10.1653518
55.8876088,-3.6546319
15.4896355,120.5898637
41.0685879,21.0775386
45.8928253,12.2979247
-17.726534474761085,-63.165943897381624
55.1739999,-118.7514
31.2812801,-6.0578266
-23.1528445,46.0382021
-18.9134253,47.5518177
-0.4638216,39.6365152
-33.2982045,26.5186151
7.2796561,-1.8380105
-26.6320923,15.1679574
-4.6704541,29.623298
14.1805168,-16.1547571
33.7764296,10.7388464
32.1189578,20.0554495
7.8108823,6.7301705
21.9668727,120.7588386
17.0454406,96.1376305
3.1624899,101.71
43.5866441,142.4522358
-8.385967,115.2795756
1.2551783,103.8218387
23.7257064,57.7426581
24.7058727,46.6754217
25.2673653,51.6107658
-30.6308741,135.3975827
6.9735057,158.2079809
-43.5107538,171.9533961
-13.8301907,-171.7681408
-21.2066999,-159.7693919
13.5439486,144.8841994
21.1312003,-157.2112223
-34.9284985,138.6009678
-15.9555243,-47.8311915
8.6148958,-73.6354265
6.813393,-58.1646451
-25.1300744,-57.4760129
-34.8384766,-56.2088794
